county,method,n_train_events,n_test_events,mae
LosAngeles,persistence,7740,3111,15.349721543692459
LosAngeles,global_residual_ridge_target_mean,7740,3111,15.658984251312837
LosAngeles,ridge_residual_expert,7740,3111,15.69543532034526
Orange,persistence,2064,885,15.299289953247722
Orange,global_residual_ridge_target_mean,2064,885,15.494307837475052
Orange,ridge_residual_expert,2064,885,16.00505853961886
Alameda,persistence,1530,594,16.255337912493147
Alameda,global_residual_ridge_target_mean,1530,594,16.5415968078152
Alameda,ridge_residual_expert,1530,594,17.294945097626922
ContraCosta,persistence,805,365,19.47701170781976
ContraCosta,global_residual_ridge_target_mean,805,365,19.742028946247657
ContraCosta,ridge_residual_expert,805,365,19.14942852056861
