factor,value,scope,counties,total_node_windows,mean_delta_vs_STID_MAE,wins_vs_STID,mean_MAE,mean_bias
impact_abs,low,future_any,4,27472,-0.023575678827007174,3,5.52079825909426,-0.3280971019501863
impact_abs,high,future_any,4,13733,-0.00044328568411255986,2,23.67064701054352,-0.5671627363653001
impact_abs,mid,future_any,4,13734,0.00941632323474817,2,10.841814453499765,-0.6214442967454288
impact_abs,mid,history_any,4,13713,0.00235778173946688,1,10.721694104272233,-1.4007691524512014
impact_abs,low,history_any,4,27452,0.05884280652440843,2,5.59922330337148,-0.6797243065037346
impact_abs,high,history_any,4,13719,0.14083601163182458,1,23.73027622059425,-1.2728441303236957
impact_abs,mid,ongoing,4,1413,-0.0562386071017662,3,10.835433139212205,-0.9656547894978943
impact_abs,low,ongoing,4,2838,-0.005591233048680477,2,5.658595992975709,-0.5205842528503203
impact_abs,high,ongoing,4,1415,0.178480137047341,2,24.30809341271533,-0.7632251157387739
impact_abs,low,post_last_slot,4,4444,-0.0040061557560446825,2,5.664144238933819,-0.6532373565603704
impact_abs,mid,post_last_slot,4,2219,0.021545248726048793,1,10.60666166945758,-1.0882861727363133
impact_abs,high,post_last_slot,4,2220,0.08248903633309013,2,24.237630285802187,-1.4941256400885277
impact_direction,drop,future_any,4,19526,-0.02199537829596432,2,14.289376340333469,3.9190738040004285
impact_direction,rise,future_any,4,19740,0.0344429043283232,2,13.671390326111808,-4.935301680470582
impact_direction,rise,history_any,4,19887,0.0384607147962055,1,13.909656124254509,-5.844513139012444
impact_direction,drop,history_any,4,19297,0.09753273330380496,0,14.147100836328201,3.567513629693696
impact_direction,drop,ongoing,4,1954,-0.008131817405390596,3,14.763018378245292,4.496224769421575
impact_direction,rise,ongoing,4,2067,0.10344848025693043,1,13.796178693830146,-5.825708739427864
impact_direction,drop,post_last_slot,4,3094,-0.004578188309915632,2,14.441440585966726,3.6045626041298675
impact_direction,rise,post_last_slot,4,3250,0.07258794054611561,1,13.841266779297676,-5.794942305630932
incident_type,1141,future_any,4,8378,-0.040004873529612794,2,11.004955408595482,-0.970368633676014
incident_type,UnknInj,future_any,4,22983,-0.012103018518639264,2,12.024812584407716,-0.27595648622306035
incident_type,NoInj,future_any,4,24607,0.01698738683896117,2,13.658983255254839,-0.37976671868834555
incident_type,1141,history_any,4,8380,0.007825081925903365,2,11.321042094069103,-1.505314724930677
incident_type,UnknInj,history_any,4,22969,0.0793602194981271,1,11.990977078868548,-0.5646992000548444
incident_type,NoInj,history_any,4,24562,0.09131920124043802,2,13.72829808679965,-1.4289297356171677
incident_type,UnknInj,ongoing,4,2157,-0.04919759710739546,2,12.398009994541304,-0.1302660137352009
incident_type,1141,ongoing,4,741,-0.022841336240818855,2,10.536869733950033,-1.336813643992989
incident_type,NoInj,ongoing,4,2349,0.1480030818925444,1,13.572895842981579,-1.403824420147025
incident_type,1141,post_last_slot,4,1338,-0.05055577756613028,3,11.018093157561367,-1.3720603115211407
incident_type,UnknInj,post_last_slot,4,3670,-0.0047587367776920075,1,12.311405912938286,-0.7689984455988909
incident_type,NoInj,post_last_slot,4,3944,0.10599696869871256,2,13.709026303439288,-1.0984709185420976
pm_relation,downstream,future_any,4,21216,-0.030912266733142957,3,12.323161516806149,-1.1182835132858167
pm_relation,upstream,future_any,4,25045,-0.0053579146337421335,2,12.203598542975485,0.2519478641931574
pm_relation,at_source,future_any,4,9099,0.023466493048543757,2,13.580972153880586,-0.6186603664962647
pm_relation,upstream,history_any,4,25010,0.036882194790518685,1,11.899926107951043,-0.9213838286027352
pm_relation,downstream,history_any,4,21197,0.07429878730912254,1,12.38872337411919,-1.2522982748539857
pm_relation,at_source,history_any,4,9099,0.11865880632606718,1,14.336597993650152,-0.6674181546526029
pm_relation,downstream,ongoing,4,2115,-0.07301197843565754,3,12.380945585711066,-1.337623730403526
pm_relation,at_source,ongoing,4,911,-0.05469724842216861,3,14.826930442498696,0.108916762429281
pm_relation,upstream,ongoing,4,2517,0.1321892805647953,2,12.548012106702167,-0.2705871889984815
pm_relation,downstream,post_last_slot,4,3417,-0.011336551500917835,2,12.637407159688864,-1.3753082280949007
pm_relation,at_source,post_last_slot,4,1484,-0.0041797151291160795,2,13.954177384702426,-0.5633815066060891
pm_relation,upstream,post_last_slot,4,4011,0.07190843841220751,1,12.112901833235087,-0.8648488185908595
