group,counties,total_node_windows,mean_delta_vs_STID_MAE,wins_vs_STID,mean_STID_MAE,mean_Posthoc_MAE
all_eval,4,9785020,0.002307891845703125,0,10.764058828353882,10.766366720199585
high_impact_history_any,4,6187,0.3719167709350586,1,24.056282997131348,24.428199768066406
high_impact_post_last,4,1059,0.35271596908569336,0,24.392220497131348,24.74493646621704
history_any,4,25115,1.0434846878051758,0,12.580206394195557,13.623691082000732
impact_drop_history_any,4,8613,0.8901057243347168,0,13.98818850517273,14.878294229507446
impact_rise_history_any,4,8901,0.5373363494873047,0,14.137285709381104,14.674622058868408
no_event,4,9737316,0.0,0,10.756969451904297,10.756969451904297
ongoing,4,2590,0.9993999004364014,0,13.174829244613647,14.174229145050049
post_last_slot,4,4062,1.0887153148651123,0,12.831196308135986,13.919911623001099
